0	0
0.040703	0.35008
0.047419	0.355689
0.054135	0.360897
0.060851	0.366106
0.067568	0.371715
0.073965	0.377324
0.080681	0.382532
0.087396	0.38774
0.094113	0.393349
0.100829	0.398558
0.107545	0.403766
0.114261	0.409375
0.120658	0.414984
0.127375	0.420593
0.13409	0.425801
0.140806	0.43101
0.147523	0.436619
0.154239	0.441827
0.160955	0.447436
0.167671	0.452644
0.174388	0.458253
0.181104	0.463862
0.1875	0.469071
0.194216	0.474279
0.200932	0.479487
0.207329	0.484696
0.214045	0.489904
0.220441	0.495112
0.226837	0.500321
0.233234	0.505929
0.23995	0.511138
